序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
1058,第4门,欲界人天門,卷2,夜摩天,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1059,第4门,欲界人天門,卷2,夜摩天,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1060,第4门,欲界人天門,卷2,夜摩天,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1061,第4门,欲界人天門,卷2,夜摩天,謨佛,謨,爱烦恼,佛,无漏善慧,行,少光天,第5门,升,,「謨」表爱烦恼、「佛」表无漏善慧。虽有见思而以觉悟力能超欲界，故生少光天。,手工逐组（门1–14 手写）,承注,,那佛。謨佛。雖有見思。以覺悟力。能超欲界。,《選佛譜》卷第二・四王天・L135,四王天
1062,第4门,欲界人天門,卷2,夜摩天,阿阿,阿,施善,阿,施善,行,兜率天,第4门,升,,「阿阿」二字俱表施善。福善所感，故渐升兜率天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1063,第4门,欲界人天門,卷2,夜摩天,阿彌,阿,施善,彌,戒善,行,化樂天,第4门,升,,「阿」表施善、「彌」表戒善。福善所感，故渐升化乐天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1064,第4门,欲界人天門,卷2,夜摩天,阿陀,阿,施善,陀,定善,行,他化自在天,第4门,升,,「阿」表施善、「陀」表定善。福善所感，故渐升他化自在天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1065,第4门,欲界人天門,卷2,夜摩天,阿佛,阿,施善,佛,无漏善慧,行,在家五戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。天乐迷醉、难入法门，故仅持在家五戒。,手工逐组（门1–14 手写）,承注,,天樂迷醉。難入法門。故阿佛僅持五戒。彌佛僅能加受八關。,《選佛譜》卷第二・四王天・L135,四王天
1066,第4门,欲界人天門,卷2,夜摩天,彌彌,彌,戒善,彌,戒善,行,他化自在天,第4门,升,,「彌彌」二字俱表戒善。福善所感，故渐升他化自在天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1067,第4门,欲界人天門,卷2,夜摩天,彌陀,彌,戒善,陀,定善,行,梵眾天,第5门,升,,「彌」表戒善、「陀」表定善。净戒生定，能超欲界，故生梵众天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1068,第4门,欲界人天門,卷2,夜摩天,彌佛,彌,戒善,佛,无漏善慧,行,八關齋戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。天乐迷醉、难入法门，故仅能加受八关斋戒。,手工逐组（门1–14 手写）,承注,,天樂迷醉。難入法門。故阿佛僅持五戒。彌佛僅能加受八關。,《選佛譜》卷第二・四王天・L135,四王天
1069,第4门,欲界人天門,卷2,夜摩天,陀陀,陀,定善,陀,定善,行,梵輔天,第5门,升,,「陀陀」二字俱表定善。福善所感，定善又深，故生梵辅天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1070,第4门,欲界人天門,卷2,夜摩天,陀佛,陀,定善,佛,无漏善慧,行,護法八部,第6门,升,,「陀」表定善、「佛」表无漏善慧。竭力殚诚、护持正法，故为护法八部。,手工逐组（门1–14 手写）,承注,,陀佛。則竭力殫誠。護持正法。,《選佛譜》卷第二・四王天・L135,四王天
1071,第4门,欲界人天門,卷2,夜摩天,佛佛,佛,无漏善慧,佛,无漏善慧,行,上品上生,第14门,横超,,「佛佛」二字俱表无漏善慧。上善具足、随佛往生，故得上品上生。,手工逐组（门1–14 手写）,承注,,佛佛。則上善具足。隨佛往生。,《選佛譜》卷第二・四王天・L135,四王天
1072,第4门,欲界人天門,卷2,兜率天,那那,那,见烦恼,那,见烦恼,行,四王天,第4门,降,,「那那」二字俱表见烦恼。过失轻故，犹未即堕人鬼诸趣，故降为四王天。,手工逐组（门1–14 手写）,直說,過失輕故。雖那那等。猶未即墮人鬼諸趣。,過失輕故。雖那那等。猶未即墮人鬼諸趣。,《選佛譜》卷第二・兜率天・L149,兜率天
1073,第4门,欲界人天門,卷2,兜率天,那謨,那,见烦恼,謨,爱烦恼,行,忉利天,第4门,降,,「那」表见烦恼、「謨」表爱烦恼。过失轻故，犹未即堕人鬼诸趣，故降为忉利天。,手工逐组（门1–14 手写）,直說,過失輕故。雖那那等。猶未即墮人鬼諸趣。,過失輕故。雖那那等。猶未即墮人鬼諸趣。,《選佛譜》卷第二・兜率天・L149,兜率天
1074,第4门,欲界人天門,卷2,兜率天,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1075,第4门,欲界人天門,卷2,兜率天,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1076,第4门,欲界人天門,卷2,兜率天,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1077,第4门,欲界人天門,卷2,兜率天,那佛,那,见烦恼,佛,无漏善慧,行,在家五戒,第7门,升,,「那」表见烦恼、「佛」表无漏善慧。近内院故，即秉在家五戒。,手工逐组（门1–14 手写）,直說,近內院故。那佛即秉五戒。,近內院故。那佛即秉五戒。謨佛即加八關。阿佛即能護法。彌佛即登大乘戒品。,《選佛譜》卷第二・兜率天・L149,兜率天
1078,第4门,欲界人天門,卷2,兜率天,謨謨,謨,爱烦恼,謨,爱烦恼,行,夜摩天,第4门,降,,「謨謨」二字俱表爱烦恼。过失轻故，犹未即堕人鬼诸趣，故降为夜摩天。,手工逐组（门1–14 手写）,直說,過失輕故。雖那那等。猶未即墮人鬼諸趣。,過失輕故。雖那那等。猶未即墮人鬼諸趣。,《選佛譜》卷第二・兜率天・L149,兜率天
1079,第4门,欲界人天門,卷2,兜率天,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1080,第4门,欲界人天門,卷2,兜率天,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1081,第4门,欲界人天門,卷2,兜率天,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1082,第4门,欲界人天門,卷2,兜率天,謨佛,謨,爱烦恼,佛,无漏善慧,行,八關齋戒,第7门,升,,「謨」表爱烦恼、「佛」表无漏善慧。近内院故，即加受八关斋戒。,手工逐组（门1–14 手写）,直說,謨佛即加八關。,近內院故。那佛即秉五戒。謨佛即加八關。阿佛即能護法。彌佛即登大乘戒品。,《選佛譜》卷第二・兜率天・L149,兜率天
1083,第4门,欲界人天門,卷2,兜率天,阿阿,阿,施善,阿,施善,行,化樂天,第4门,升,,「阿阿」二字俱表施善。福善所感，故渐升化乐天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1084,第4门,欲界人天門,卷2,兜率天,阿彌,阿,施善,彌,戒善,行,他化自在天,第4门,升,,「阿」表施善、「彌」表戒善。福善所感，故渐升他化自在天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1085,第4门,欲界人天門,卷2,兜率天,阿陀,阿,施善,陀,定善,行,梵眾天,第5门,升,,「阿」表施善、「陀」表定善。舍欲得禅，故生梵众天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1086,第4门,欲界人天門,卷2,兜率天,阿佛,阿,施善,佛,无漏善慧,行,護法八部,第6门,升,,「阿」表施善、「佛」表无漏善慧。近内院故，即能护法，为护法八部。,手工逐组（门1–14 手写）,直說,阿佛即能護法。,近內院故。那佛即秉五戒。謨佛即加八關。阿佛即能護法。彌佛即登大乘戒品。,《選佛譜》卷第二・兜率天・L149,兜率天
1087,第4门,欲界人天門,卷2,兜率天,彌彌,彌,戒善,彌,戒善,行,梵眾天,第5门,升,,「彌彌」二字俱表戒善。此天兼得细住，戒善能超欲界，故生梵众天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1088,第4门,欲界人天門,卷2,兜率天,彌陀,彌,戒善,陀,定善,行,梵輔天,第5门,升,,「彌」表戒善、「陀」表定善。净戒生定，故生梵辅天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1089,第4门,欲界人天門,卷2,兜率天,彌佛,彌,戒善,佛,无漏善慧,行,業清淨戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。即登大乘戒品，故入业清净戒。,手工逐组（门1–14 手写）,直說,彌佛即登大乘戒品。,近內院故。那佛即秉五戒。謨佛即加八關。阿佛即能護法。彌佛即登大乘戒品。,《選佛譜》卷第二・兜率天・L149,兜率天
1090,第4门,欲界人天門,卷2,兜率天,陀陀,陀,定善,陀,定善,行,大梵天,第5门,升,,「陀陀」二字俱表定善。福善所感，定善最深，故生大梵天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1091,第4门,欲界人天門,卷2,兜率天,陀佛,陀,定善,佛,无漏善慧,行,彌勒內院,第4门,升,,「陀」表定善、「佛」表无漏善慧。定慧力均，故能亲觐补处大士，入弥勒内院。,手工逐组（门1–14 手写）,直說,陀佛定慧力均。故能親覲補處大士。,陀佛定慧力均。故能親覲補處大士。,《選佛譜》卷第二・兜率天・L149,兜率天
1092,第4门,欲界人天門,卷2,兜率天,佛佛,佛,无漏善慧,佛,无漏善慧,行,上品上生,第14门,横超,,「佛佛」二字俱表无漏善慧。横超顿悟，故亦同得上品上生。,手工逐组（门1–14 手写）,直說,佛佛橫超頓悟。故亦同得上品上生。,佛佛橫超頓悟。故亦同得上品上生。,《選佛譜》卷第二・兜率天・L149,兜率天
1093,第4门,欲界人天門,卷2,蒙光天子,那那,那,见烦恼,那,见烦恼,不行·安住本位,,,安住,,「那那」二字俱表见烦恼。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1094,第4门,欲界人天門,卷2,蒙光天子,那謨,那,见烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「那」表见烦恼、「謨」表爱烦恼。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1095,第4门,欲界人天門,卷2,蒙光天子,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,通則,故那那乃至謨佛皆不行。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1096,第4门,欲界人天門,卷2,蒙光天子,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,通則,故那那乃至謨佛皆不行。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1097,第4门,欲界人天門,卷2,蒙光天子,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,通則,故那那乃至謨佛皆不行。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1098,第4门,欲界人天門,卷2,蒙光天子,那佛,那,见烦恼,佛,无漏善慧,不行·安住本位,,,安住,,「那」表见烦恼、「佛」表无漏善慧。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1099,第4门,欲界人天門,卷2,蒙光天子,謨謨,謨,爱烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「謨謨」二字俱表爱烦恼。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1100,第4门,欲界人天門,卷2,蒙光天子,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,通則,故那那乃至謨佛皆不行。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1101,第4门,欲界人天門,卷2,蒙光天子,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,通則,故那那乃至謨佛皆不行。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1102,第4门,欲界人天門,卷2,蒙光天子,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,通則,故那那乃至謨佛皆不行。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1103,第4门,欲界人天門,卷2,蒙光天子,謨佛,謨,爱烦恼,佛,无漏善慧,不行·安住本位,,,安住,,「謨」表爱烦恼、「佛」表无漏善慧。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1104,第4门,欲界人天門,卷2,蒙光天子,阿阿,阿,施善,阿,施善,不行·安住本位,,,安住,,「阿阿」二字俱表施善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1105,第4门,欲界人天門,卷2,蒙光天子,阿彌,阿,施善,彌,戒善,不行·安住本位,,,安住,,「阿」表施善、「彌」表戒善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1106,第4门,欲界人天門,卷2,蒙光天子,阿陀,阿,施善,陀,定善,不行·安住本位,,,安住,,「阿」表施善、「陀」表定善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1107,第4门,欲界人天門,卷2,蒙光天子,阿佛,阿,施善,佛,无漏善慧,贈掷·不移位,,,贈掷,贈一掷,「阿」表施善、「佛」表无漏善慧。表舍五欲、诣菩萨所，故赠一掷。,手工逐组（门1–14 手写）,直說,阿佛贈一者。表捨五欲。詣菩薩所故。,阿佛贈一者。表捨五欲。詣菩薩所故。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1108,第4门,欲界人天門,卷2,蒙光天子,彌彌,彌,戒善,彌,戒善,不行·安住本位,,,安住,,「彌彌」二字俱表戒善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1109,第4门,欲界人天門,卷2,蒙光天子,彌陀,彌,戒善,陀,定善,不行·安住本位,,,安住,,「彌」表戒善、「陀」表定善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1110,第4门,欲界人天門,卷2,蒙光天子,彌佛,彌,戒善,佛,无漏善慧,贈掷·不移位,,,贈掷,贈二掷,「彌」表戒善、「佛」表无漏善慧。表净三业、悔除诸障，故赠二掷。,手工逐组（门1–14 手写）,直說,彌佛贈二者。表淨三業。悔除諸障故。,彌佛贈二者。表淨三業。悔除諸障故。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1111,第4门,欲界人天門,卷2,蒙光天子,陀陀,陀,定善,陀,定善,不行·安住本位,,,安住,,「陀陀」二字俱表定善。此中唯行佛乘善根，故不行。,手工逐组（门1–14 手写）,直說,故那那乃至謨佛皆不行。,此中唯行佛乘善根。故那那乃至謨佛皆不行。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1112,第4门,欲界人天門,卷2,蒙光天子,陀佛,陀,定善,佛,无漏善慧,行,十法雲地,第12门,升,,「陀」表定善、「佛」表无漏善慧。表兼别义，故入十法云地。,手工逐组（门1–14 手写）,直說,陀佛法雲地者。表兼別故。,陀佛法雲地者。表兼別故。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1113,第4门,欲界人天門,卷2,蒙光天子,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十地位,第13门,升,,「佛佛」二字俱表无漏善慧。表极顿义，故入圆十地位。,手工逐组（门1–14 手写）,直說,佛佛圓十地者。表極頓故。,佛佛圓十地者。表極頓故。,《選佛譜》卷第二・蒙光天子・L153,蒙光天子
1114,第4门,欲界人天門,卷2,彌勒內院,那那,那,见烦恼,那,见烦恼,不行·安住本位,,,安住,,「那那」二字俱表见烦恼。修行十善、深习禅观方得上生，故不复行。,手工逐组（门1–14 手写）,直說,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,菩薩修行十善。深習禪觀。發心親近補處大士。乃得上生。故那那等皆不復行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1115,第4门,欲界人天門,卷2,彌勒內院,那謨,那,见烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「那」表见烦恼、「謨」表爱烦恼。修行十善、深习禅观方得上生，故不复行。,手工逐组（门1–14 手写）,直說,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,菩薩修行十善。深習禪觀。發心親近補處大士。乃得上生。故那那等皆不復行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1116,第4门,欲界人天門,卷2,彌勒內院,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。修行十善、深习禅观方得上生，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1117,第4门,欲界人天門,卷2,彌勒內院,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。修行十善、深习禅观方得上生，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1118,第4门,欲界人天門,卷2,彌勒內院,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。修行十善、深习禅观方得上生，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1119,第4门,欲界人天門,卷2,彌勒內院,那佛,那,见烦恼,佛,无漏善慧,行,圓十信位,第13门,升,,「那」表见烦恼、「佛」表无漏善慧。已悟圆理而未破无明，故为圆十信位。,手工逐组（门1–14 手写）,直說,那佛。則已悟圓理。未破無明。故為圓信。,那佛。則已悟圓理。未破無明。故為圓信。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1120,第4门,欲界人天門,卷2,彌勒內院,謨謨,謨,爱烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「謨謨」二字俱表爱烦恼。修行十善、深习禅观方得上生，故不复行。,手工逐组（门1–14 手写）,直說,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,菩薩修行十善。深習禪觀。發心親近補處大士。乃得上生。故那那等皆不復行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1121,第4门,欲界人天門,卷2,彌勒內院,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。修行十善、深习禅观方得上生，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1122,第4门,欲界人天門,卷2,彌勒內院,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。修行十善、深习禅观方得上生，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1123,第4门,欲界人天門,卷2,彌勒內院,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。修行十善、深习禅观方得上生，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,故那那等皆不復行。既見大士。隨根利鈍。必入別圓法門。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1124,第4门,欲界人天門,卷2,彌勒內院,謨佛,謨,爱烦恼,佛,无漏善慧,行,初歡喜地,第12门,升,,「謨」表爱烦恼、「佛」表无漏善慧。已证中道而犹存细执，故为初欢喜地。,手工逐组（门1–14 手写）,直說,謨佛。則已證中道。猶存細執。故為初地。,謨佛。則已證中道。猶存細執。故為初地。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1125,第4门,欲界人天門,卷2,彌勒內院,阿阿,阿,施善,阿,施善,行,七不退住,第12门,升,,「阿阿」二字俱表施善。既见大士，创舍凡心，故为七不退住。,手工逐组（门1–14 手写）,直說,但阿阿創捨凡心。故為七住。,但阿阿創捨凡心。故為七住。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1126,第4门,欲界人天門,卷2,彌勒內院,阿彌,阿,施善,彌,戒善,行,十灌頂住,第12门,升,,「阿」表施善、「彌」表戒善。功力稍进，故为十灌顶住。,手工逐组（门1–14 手写）,直說,阿彌功力稍進。故為十住。,阿彌功力稍進。故為十住。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1127,第4门,欲界人天門,卷2,彌勒內院,阿陀,阿,施善,陀,定善,行,初歡喜行,第12门,升,,「阿」表施善、「陀」表定善。功行略同，故为初欢喜行。,手工逐组（门1–14 手写）,直說,彌彌。阿陀。功行略同。故為初行。,彌彌。阿陀。功行略同。故為初行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1128,第4门,欲界人天門,卷2,彌勒內院,阿佛,阿,施善,佛,无漏善慧,行,圓十住位,第13门,升,,「阿」表施善、「佛」表无漏善慧。证悟无生法忍，故为圆十住位。,手工逐组（门1–14 手写）,直說,阿佛。則證悟無生法忍。故為圓住。,阿佛。則證悟無生法忍。故為圓住。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1129,第4门,欲界人天門,卷2,彌勒內院,彌彌,彌,戒善,彌,戒善,行,初歡喜行,第12门,升,,「彌彌」二字俱表戒善。功行略同，故为初欢喜行。,手工逐组（门1–14 手写）,直說,彌彌。阿陀。功行略同。故為初行。,彌彌。阿陀。功行略同。故為初行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1130,第4门,欲界人天門,卷2,彌勒內院,彌陀,彌,戒善,陀,定善,行,十真實行,第12门,升,,「彌」表戒善、「陀」表定善。功行更进，故为十真实行。,手工逐组（门1–14 手写）,直說,彌陀。功行更進。故為十行。,彌陀。功行更進。故為十行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1131,第4门,欲界人天門,卷2,彌勒內院,彌佛,彌,戒善,佛,无漏善慧,行,圓十行位,第13门,升,,「彌」表戒善、「佛」表无漏善慧。遵修诸佛妙戒，故为圆十行位。,手工逐组（门1–14 手写）,直說,彌佛。則遵修諸佛妙戒。故為圓行。,彌佛。則遵修諸佛妙戒。故為圓行。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1132,第4门,欲界人天門,卷2,彌勒內院,陀陀,陀,定善,陀,定善,行,十法界無量迴向,第12门,升,,「陀陀」二字俱表定善。有功用行已极，故为第十回向。,手工逐组（门1–14 手写）,直說,陀陀。則有功用行已極。故為第十迴向。,陀陀。則有功用行已極。故為第十囘向。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
